"","Culture","PromLong","PromLat","Dated_Mean"
"410","Serbia_IronGates_Mesolithic_1",22.03,44.565,11331.5
"411","Serbia_IronGates_Mesolithic_2",22.01,44.6,9500
"412","Serbia_IronGates_Mesolithic_3",22.04,44.5475,7846
"413","Serbia_IronGates_Mesolithic_4",22.03,44.565,9853
"414","Serbia_IronGates_Mesolithic_5",22.0233333333333,44.5766666666667,10137
"415","Serbia_IronGates_Mesolithic_6",22.01,44.6,10738.75
"416","Serbia_IronGates_Mesolithic_7",22.0727272727273,44.54,8496.18181818182
"417","Serbia_IronGates_Mesolithic_8",22.3,44.64,8838
"418","Serbia_IronGates_N_0",22.03,44.55,7902.33333333333
"419","Serbia_Medieval_0",21.23,44.73,1400
"420","Sicily_EBA_0",13.93,37.87,4050
"421","Slovakia_0",20.32,49.08,1600
"422","Spain_BA_0",-4.2,37.44,3725
"423","Spain_BA_1",-3.97,39.88,3630
"424","Spain_BA_2",-2.41,42.32,3400
"425","Spain_BellBeaker_0",-3.5,40.44,4209
"426","Spain_C_0",-2.50666666666667,40.0959259259259,4571.2962962963
"427","Spain_C_1",-3.76235294117647,40.6544117647059,4139.44117647059
"428","Spain_C_2",-2.61434782608696,42.3069565217391,4925.60869565217
"429","Spain_C_3",-3.52,42.35,5397
"430","Spain_C_4",-2.45833333333333,41.625,4340.16666666667
"431","Spain_Carolingian_0",2.31,41.98,1153
"432","Spain_EBA_0",-0.793333333333333,38.89,4152.33333333333
"433","Spain_EBA_1",-0.807586206896552,41.3158620689655,3567.58620689655
"434","Spain_EBA_2",-3.11857142857143,38.4185714285714,3766.57142857143
"435","Spain_ElMiron_0",-3.45,43.26,18775
"436","Spain_EN_0",-1.04916666666667,42.0058333333333,7113
"437","Spain_EN_1",1.89,41.37,7345
"438","Spain_EN_2",-1.63,42.425,6561.5
"439","Spain_Girona_0",2.81,42.02,1350
"440","Spain_Greek_0",3.11,42.13,2418
"441","Spain_Hellenistic_0",3.11,42.13,2161.6
"442","Spain_HG_0",-4.72,43.36,7089
"443","Spain_HG_1",-3.44,37.44,24450
"444","Spain_HG_2",-3.458,41.788,7850.4
"445","Spain_HG_3",-7.03,42.73,9109
"446","Spain_IA_0",0.656,41.753,2204.7
"447","Spain_IA_1",-1.70333333333333,39.62,2550.22222222222
"448","Spain_IA_2",1.746,41.39,2401.4
"449","Spain_Islamic_0",-0.258,39.662,779.1
"450","Spain_LBA_0",0.11,40.14,3266.66666666667
"451","Spain_LBA_1",-2.62,42.57,2826
"452","Spain_LBA_2",3.89,40,2809
"453","Spain_LN_0",-1.985,39.885,5643.5
"454","Spain_MBA_0",-4.6375,41.5875,3269
"455","Spain_MBA_1",-2.62,42.57,3428
"456","Spain_MBA_2",1.42,38.69,3748
"457","Spain_Medieval_0",2.87,42.05,930.571428571429
"458","Spain_MLN_0",1.42285714285714,41.2442857142857,4891.71428571429
